day,month,year,open,high,low,close,time,volume,number_of_trades,city,latitude,longitude,avg_temp,country,weather_status
27,4,2021,115.67,115.8,115.57,115.655,09:30 AM,1619.0,18.0,Andorra la Vella,42.5045,1.4941,4.97,CA,Clouds
27,4,2021,115.67,115.8,115.57,115.655,09:30 AM,1619.0,18.0,Abu Dhabi,24.4667,54.3667,28.57,CA,Clear
27,4,2021,115.67,115.8,115.57,115.655,09:30 AM,1619.0,18.0,Al Ain,24.1917,55.7606,30.0,CA,Clear
27,4,2021,115.67,115.8,115.57,115.655,09:30 AM,1619.0,18.0,Dubai,25.2582,55.3047,30.17,CA,Clear
27,4,2021,115.67,115.8,115.57,115.655,09:30 AM,1619.0,18.0,Fujairah,25.1164,56.3414,30.0,CA,Clouds
27,4,2021,115.67,115.8,115.57,115.655,09:30 AM,1619.0,18.0,Avellaneda,-29.1176,-59.6583,22.07,CA,Clouds
27,4,2021,115.67,115.8,115.57,115.655,09:30 AM,1619.0,18.0,Boulogne-sur-Mer,50.7167,1.6167,2.0,CA,Clear
27,4,2021,115.67,115.8,115.57,115.655,09:30 AM,1619.0,18.0,Buenos Aires,-34.6132,-58.3772,20.57,CA,Clear
27,4,2021,115.67,115.8,115.57,115.655,09:30 AM,1619.0,18.0,José María Ezeiza,-34.8479,-58.5287,19.96,CA,Clear
27,4,2021,115.67,115.8,115.57,115.655,09:30 AM,1619.0,18.0,Martinez,38.0194,-122.134,19.39,CA,Clear
27,4,2021,115.67,115.8,115.57,115.655,09:30 AM,1619.0,18.0,Morón,-34.6534,-58.6198,20.39,CA,Clear
27,4,2021,115.67,115.8,115.57,115.655,09:30 AM,1619.0,18.0,Pilar,-9.5972,-35.9567,24.0,CA,Rain
27,4,2021,115.67,115.8,115.57,115.655,09:30 AM,1619.0,18.0,Quilmes,-34.7242,-58.2527,20.04,CA,Clear
27,4,2021,115.67,115.8,115.57,115.655,09:30 AM,1619.0,18.0,San Isidro,-12.1167,-77.05,20.11,CA,Clear
27,4,2021,115.67,115.8,115.57,115.655,09:30 AM,1619.0,18.0,San Justo,-30.7891,-60.5919,20.0,CA,Clear
27,4,2021,115.67,115.8,115.57,115.655,09:30 AM,1619.0,18.0,Tigre,-34.426,-58.5796,20.32,CA,Clear
27,4,2021,115.67,115.8,115.57,115.655,09:30 AM,1619.0,18.0,Tortuguitas,-34.4697,-58.7592,20.43,CA,Clear
27,4,2021,115.67,115.8,115.57,115.655,09:30 AM,1619.0,18.0,Vicente López,-34.5295,-58.4737,20.36,CA,Clear
27,4,2021,115.67,115.8,115.57,115.655,09:30 AM,1619.0,18.0,Caba,16.4316,120.345,27.34,CA,Clouds
27,4,2021,115.67,115.8,115.57,115.655,09:30 AM,1619.0,18.0,Mendoza,-32.8908,-68.8272,23.0,CA,Clear
27,4,2021,115.67,115.8,115.57,115.655,09:30 AM,1619.0,18.0,Rosario,-32.9468,-60.6393,20.86,CA,Clear
27,4,2021,115.67,115.8,115.57,115.655,09:30 AM,1619.0,18.0,Santa Fe,-31.6333,-60.7,22.34,CA,Clear
27,4,2021,115.67,115.8,115.57,115.655,09:30 AM,1619.0,18.0,Córdoba,-31.4135,-64.1811,20.27,CA,Clouds
27,4,2021,115.67,115.8,115.57,115.655,09:30 AM,1619.0,18.0,Vösendorf,48.1211,16.3404,3.76,CA,Clear
27,4,2021,115.67,115.8,115.57,115.655,09:30 AM,1619.0,18.0,Salzburg,47.7994,13.044,0.4,CA,Rain
27,4,2021,115.67,115.8,115.57,115.655,09:30 AM,1619.0,18.0,Schwechat,48.1333,16.4667,3.71,CA,Clear
27,4,2021,115.67,115.8,115.57,115.655,09:30 AM,1619.0,18.0,Vienna,48.2085,16.3721,3.76,CA,Clear
27,4,2021,115.67,115.8,115.57,115.655,09:30 AM,1619.0,18.0,Manly,-33.798,151.288,19.42,CA,Clear
27,4,2021,115.67,115.8,115.57,115.655,09:30 AM,1619.0,18.0,Parramatta,-33.8178,151.003,13.19,CA,Clouds
27,4,2021,115.67,115.8,115.57,115.655,09:30 AM,1619.0,18.0,Parramatta,-33.8178,151.003,18.96,CA,Clouds
27,4,2021,115.67,115.8,115.57,115.655,09:30 AM,1619.0,18.0,Sydney,-33.8679,151.207,18.48,CA,Clear
27,4,2021,115.67,115.8,115.57,115.655,09:30 AM,1619.0,18.0,Westmead,-33.8038,150.988,18.94,CA,Clouds
27,4,2021,115.67,115.8,115.57,115.655,09:30 AM,1619.0,18.0,Brisbane,-27.4679,153.028,20.27,CA,Clear
27,4,2021,115.67,115.8,115.57,115.655,09:30 AM,1619.0,18.0,Broadbeach,-28.0278,153.433,22.54,CA,Clear
27,4,2021,115.67,115.8,115.57,115.655,09:30 AM,1619.0,18.0,Chermside,-27.3863,153.031,20.42,CA,Clear
27,4,2021,115.67,115.8,115.57,115.655,09:30 AM,1619.0,18.0,Gold Coast,-28.0,153.433,22.2,CA,Clear
27,4,2021,115.67,115.8,115.57,115.655,09:30 AM,1619.0,18.0,Surfers Paradise,-28.0027,153.43,22.2,CA,Clear
27,4,2021,115.67,115.8,115.57,115.655,09:30 AM,1619.0,18.0,Baku,40.3777,49.892,12.0,CA,Clear
27,4,2021,115.67,115.8,115.57,115.655,09:30 AM,1619.0,18.0,Brussels,50.8504,4.3488,5.26,CA,Clear
27,4,2021,115.67,115.8,115.57,115.655,09:30 AM,1619.0,18.0,Melbourne,28.0836,-80.6081,24.76,CA,Clear
27,4,2021,115.67,115.8,115.57,115.655,09:30 AM,1619.0,18.0,Baku,40.3777,49.892,9.0,CA,Clear
27,4,2021,115.67,115.8,115.57,115.655,09:30 AM,1619.0,18.0,Leuven,50.8796,4.7009,5.49,CA,Clouds
27,4,2021,115.67,115.8,115.57,115.655,09:30 AM,1619.0,18.0,Brussels,50.8504,4.3488,2.81,CA,Clear
27,4,2021,115.67,115.8,115.57,115.655,09:30 AM,1619.0,18.0,Antwerp,51.2199,4.4035,4.0,CA,Clear
27,4,2021,115.67,115.8,115.57,115.655,09:30 AM,1619.0,18.0,Namur,50.4669,4.8675,3.83,CA,Clouds
27,4,2021,115.67,115.8,115.57,115.655,09:30 AM,1619.0,18.0,Ghent,51.05,3.7167,3.36,CA,Clouds
27,4,2021,115.67,115.8,115.57,115.655,09:30 AM,1619.0,18.0,Leuven,50.8796,4.7009,2.34,CA,Clouds
